id,type,source,target,lineType,,,,,,,,,,,,,,,,,
95,tafelmaler,34,286,brotherOf,,,,,,,,,,,,,,,,,
96,tafelmaler,264,97,brotherOf,,,,,,,,,,,,,,,,,
103,tafelmaler,303,179,brotherOf,,,,,,,,,,,,,,Giovanni,Valdarno,(Masaccio),
104,tafelmaler,179,303,brotherOf,,,,,,,,,,,,,,Giovanni,Valdarno,(Lo,Scheggia)
105,tafelmaler,272,151,brotherOf,,,,,,,,,,,,,,,,,
115,tafelmaler,198,192,uncleOf,,,,,,,,,,,,,,,,,
116,tafelmaler,196,207,uncleOf,,,,,,,,,,,,,,,,,
119,tafelmaler,59,283,uncleOf,,,,,,,,,,,,,,,,,
121,tafelmaler,239,303,uncleOf,,,,,,,,,,,,,,,,,
122,tafelmaler,239,179,uncleOf,,,,,,,,,,,,,,,,,
1,undefined,125,2,fatherOf,,,,,,,,,,,,,,,,,
7,undefined,214,30,fatherOf,,,,,,,,,,,,,,,,,
8,undefined,214,196,fatherOf,,,,,,,,,,,,,,,,,
12,undefined,33,49,fatherOf,,,,,,,,,,,,,,,,,
26,undefined,297,138,fatherOf,,,,,,,,,,,,,,,,,
40,undefined,112,212,fatherOf,,,,,,,,,,,,,,,,,
51,undefined,119,161,brotherOf,,,,,,,,,,,,,,,,,
87,undefined,246,72,brotherOf,,,,,,,,,,,,,,,,,
90,undefined,72,246,brotherOf,,,,,,,,,,,,,,,,,
97,undefined,97,264,brotherOf,,,,,,,,,,,,,,,,,
117,undefined,222,246,uncleOf,,,,,,,,,,,,,,,,,
118,undefined,222,72,uncleOf,,,,,,,,,,,,,,,,,
27,waffenmaler,299,139,fatherOf,,,,,,,,,,,,,,,,,
36,waffenmaler,30,207,fatherOf,,,,,,,,,,,,,,,,,
39,waffenmaler,94,211,fatherOf,,,,,,,,,,,,,,,,,
88,waffenmaler,30,196,brotherOf,,,,,,,,,,,,,,,,,
112,waffenmaler,194,91,uncleOf,,,,,,,,,,,,,,,,,
125,waffenmaler,194,297,otherFamily,,,,,,,,,,,,,,,,,
100,Wandmaler,151,272,brotherOf,,,,,,,,,,,,,,,,,
33,zimmermaler,203,182,fatherOf,,,,,,,,,,,,,,,,,
43,zimmermaler,1,251,fatherOf,,,,,,,,,,,,,,,,,
47,zimmermaler,189,291,fatherOf,,,,,,,,,,,,,,,,,
48,zimmermaler,114,296,fatherOf,,,,,,,,,,,,,,,,,
101,zimmermaler,189,137,brotherOf,,,,,,,,,,,,,,,,,
102,zimmermaler,137,189,brotherOf,,,,,,,,,,,,,,,,,
120,zimmermaler,137,291,uncleOf,,,,,,,,,,,,,,,,,
