id,label
164,Giovanni di Berto di Bartolo
165,Giovanni di Buono di Giovanni
166,Giovanni di Cristofano di Francesco
167,Giovanni di Dino di Giovanni Amici (Stampino)
168,Giovanni di Domenico di Giovanni Strimati
169,Giovanni di Donnino (Nuccia)
170,Giovanni di Donnino di Francesco da Brucianesi
171,Giovanni di Donnino di Giovanni
174,Giovanni di Francesco di Giovanni del Cervelliera da Rovezzano
175,Giovanni di Francesco Toscani
176,Giovanni di Franco di Piero
177,Giovanni di Fruosino di Fruosino
178,Giovanni di Giovanni (Nanni)
180,Giovanni di Gonsalvo da Portogallo
181,Giovanni di Guasparre di Bonaccorso
182,Giovanni di Guccio d’Aghinetto
183,Giovanni di Luca
184,Giovanni di Marco di Giovanni (Giovanni dal Ponte)
185,Giovanni di Niccolò
187,Giovanni di Piero da Traiecto (Utrecht?)
186,Fra Giovanni di Piero dal Mugello (Fra Giovanni Angelico)
188,Giovanni di Pigello (Pella)
189,Giovanni di Scolaio
172,Giovanni di ser Francesco
179,Giovanni di ser Giovanni di Simone da San Giovanni Valdarno (Lo Scheggia)
190,Giovanni di Tano di Feo
191,Giovanni di Tommaso
192,Gismirante di Rosello di Iacopo
194,Giuliano d’Arrigo di Gioccolo Giochi (Pesello)
193,Don Giuliano degli Amidei
195,Giuliano di Borgo da Pisa
196,Giuliano di Iacopo di Lorino di Cino
197,Giuliano di Michele
198,Giunta di Iacopo di Scolaio Franchi
199,Giusto di Tommaso
200,Gregorio di Benedetto
201,Guasparre di Bonaccorso di Lapo
202,Guasparre di Spinello di Luca da Arezzo (Parri Spinelli)
203,Guccio d’Aghinetto
204,Guccio di Chimete
205,Guido di Domenico di Guido
206,Don Guido di Niccolò da Pelago
207,Iacopo d’Antonio di Iacopo di Lorino
208,Iacopo d’Antonio di Piero d’Andrea
209,Iacopo di Bonaccorso
210,Iacopo di Cione (Robiccia)
211,Iacopo di Cristofano d’Andrea di Nuto
212,Iacopo di Domenico di Nuccio
213,Iacopo di Gherardo (Virghero)
214,Iacopo di Lorino di Cione
215,Iacopo di Piero d’Antonio (Piccino)
216,Iacopo di Piero di Guido
217,Iacopo di Poggino di Luca (Paparello)
218,Lapo d’Andrea
219,Lapo di Bonaccorso di Lapo
220,Lapo di Francesco
221,Ser Lapo di Giovanni di Lapo
222,Leone di Lapo di Guccio
224,Lorenzo di Bicci da Nipozzano
225,Lorenzo di Bindo di Filippo Roselli
226,Lorenzo di Filippo Mingozzi da Borgo San Lorenzo
227,Don Lorenzo di Giovanni (Don Lorenzo Monaco)
228,Lorenzo di Niccolò di Martino
229,Lorenzo di Piero di Martino Randelli
230,Lorenzo di Puccio di Piero
231,Lorenzo di Salvo da Magliano
232,Lorenzo di Spina di Lorenzo
233,Loro d’Antonio di Guido Rontini da Ronta
234,Luca di Giovanni
235,Luigi di Bartolomeo
236,Marco di Bartolomeo Rustichi
237,Marco di Buono di Marco Giamberti
238,Marco di Filippo di Giovanni
239,Mariotto di Cristofano di Bonaccorso da San Giovanni Valdarno
240,Mariotto di Manno di Pace
241,Mariotto di Nardo di Cione
242,Massaio di Iacopo di Massaio
243,Matteo (Balzanello)
244,Matteo di Filippo Torelli
245,Matteo di Giovanni Grimaldi
246,Matteo di Iacopo di Lapo di Guccio
247,Matteo di Pello di Pello
248,Mercatino di Maestro Bartolo di Mercatino
249,Fra Michele
251,Michele d’Agnolo di Baldino di Michele
252,Michele d’Agnolo di Piero
250,Michele da Ungheria
253,Michele di Benedetto di Benedetto (Michelino)
254,Michele di Giovanni
256,Michele di Giovanni del Tria
255,Michele di Giovanni Stracchi
257,Michele di Giuliano di Rico
258,Neri d’Antonio di Neri
259,Neri di Bicci di Lorenzo
260,Niccolò d’Andrea da Lucca (Lucchesino)
261,Niccolò d’Antonio di Baldo (Piccinino)
262,Niccolò d’Antonio di Paolo Cruoni
264,Niccolò di Niccolò di Dello
265,Niccolò di Piero di Gero Gerini
266,Niccolò di Piero Tedesco (Della Magna)
267,Don Niccolò di Rossello
263,Niccolò di ser Lapo di Giovanni
268,Niccolò di Tommaso
269,Nofri di Bardo
270,Nofri di Maestro Felice
271,Paolo di Dono di Paolo di Dono (Paolo Uccello)
272,Paolo di Stefano (Paolo Schiavo)
273,Piero d’Andrea
274,Piero d’Antonio di Baldo (Piccinino)
275,Piero di Benedetto di Benedetto
276,Piero di Benedetto di Piero Franceschi da Sansepolcro (Piero della Francesca)
277,Piero di Chellino di Lando di Chellino
278,Piero di Cosimo
279,Piero di Donnino di Giovanni
280,Piero di Francesco di Martino
281,Piero di Giovanni
282,Piero di Giovanni di Fino
283,Piero di Lorenzo di Niccolò di Martino
284,Piero di Lorenzo di Pratese di Bartolo
285,Piero di Massaio di Iacopo di Massaio
286,Piero di Miniato di Meglio
287,Piero di Nello da Rabatta
82,Prete ser Bonaiuto di Corsino di Bonaiuto
223,Prete ser Lorenzo d’Antonio da Pelago
288,Puccio (di Filippo?)
289,Prete ser Riccardo di Giovanni da Castelfiorentino
290,Rossello di Iacopo di Scolaio Franchi (del Rosso)
291,Scolaio di Giovanni di Scolaio
292,Silvestro di Dino di Giovanni di Dino Amici
293,Smeraldo di Giovanni
294,Spinello di Luca di Spinello di Forzore da Arezzo (Spinello Aretino)
295,Stefano d’Antonio di Giovanni di Guido
296,Stefano di Domenico di Stefano di Bartolo Giannuzzi
297,Stefano di Francesco Borgoli
298,Stefano di Francesco di Stefano di Giovanni
299,Stefano di Lorenzo di Puccetto
300,Stefano di Nero di Nero
301,Tommaso di Cristofano di Fino (Masolino)
302,Tommaso di Domenico di Guido
304,Tommaso di Matteo
303,Tommaso di ser Giovanni di Simone da San Giovanni Valdarno (Masaccio)
305,Tommaso di Stefano
306,Fra Ugolino di Domenico
307,Ventura di Moro di Ventura
308,Vittorio di Domenico
309,Vittorio di Giovanni di Iacopo di Gherardo
310,Zanobi di Benedetto di Caroccio degli Strozzi
311,Zanobi di Iacopo di Piero de’ Machiavelli
312,Zanobi di Migliore
313,Zucchero di Giovanni di Tino
